NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
2NK," 24,416,705.00 "," 113,007,817.42 "," 306,117,929.46 "," 748,974,836.40 "," 20,320,709.64 "," 116,325,886.90 "," 502,470,044.12 "," 137,424,522.42 "," 63,901,655.11 "," 41,286,390.84 "," 7,033,182.19 "
AFYA," 836,687,116.00 "," 845,996,711.00 "," 10,743,903,287.00 "," 13,425,541,245.00 "," 715,949,392.00 "," 321,120,421.00 "," 10,885,491,228.00 "," 845,996,711.00 "," 138,668,222.00 "," 1,826,471,547.00 "," 599,570,613.29 "
AGROCHEM," 2,146,516.80 "," 16,951,881.93 "," 83,174,483.00 "," 103,527,114.91 "," 6,588,695.90 "," 19,166,099.80 "," 72,784,796.76 "," 16,951,881.93 "," 513,656.58 "," 16,353,030.48 "," 2,217,152.00 "
AINABKOI RURAL," 1,465,000.00 "," 22,090,031.00 "," 47,332,411.00 "," 92,157,671.00 "," 3,990,637.00 "," 10,077,512.00 "," 77,524,680.00 "," 22,090,031.00 ","-9,833,092.00 "," 6,551,151.00 "," 16,583,417.88 "
AIRPORTS," 3,054,228.00 "," 2,973,058.00 "," 444,745,250.84 "," 550,591,312.63 "," 41,768,191.50 "," 58,683,696.00 "," 444,321,385.68 "," 2,973,058.00 "," 9,251,331.13 "," 93,524,546.35 "," 13,378,905.05 "
AMICA," 285,116,545.00 "," 92,785,973.04 "," 1,776,483,579.74 "," 2,461,564,894.76 "," 289,794,110.58 "," 42,150,987.73 "," 1,662,033,885.70 "," 93,935,973.04 ","-40,844,524.10 "," 366,510,810.56 "," 131,784,097.80 "
AMMAR," 443,536.00 "," 16,682,317.67 "," 42,069,925.21 "," 65,549,313.72 "," 5,631,914.84 "," 16,295,822.53 "," 44,613,487.63 "," 17,051,853.67 "," 3,061,245.57 "," 9,476,142.83 "," 523,093.21 "
ARDHI," 10,001,593.00 "," 50,376,367.34 "," 1,290,206,878.19 "," 1,469,042,073.13 "," 64,043,126.06 "," 211,869,801.47 "," 1,238,839,664.95 "," 60,377,960.34 "," 63,578,664.38 "," 146,992,862.30 "," 34,143,609.33 "
ASILI ," 176,922,603.97 "," 63,122,089.53 "," 1,137,889,825.97 "," 1,775,980,752.17 "," 80,989,163.33 "," 85,725,981.28 "," 1,315,346,013.57 "," 65,846,417.53 "," 36,293,336.10 "," 250,986,751.92 "," 249,854,518.40 "
AZIMA ," 24,227,097.00 "," 88,142,705.45 "," 717,572,249.54 "," 1,008,877,672.37 "," 52,993,942.19 "," 243,613,011.31 "," 679,773,110.89 "," 88,142,705.45 "," 90,446,392.38 "," 147,059,715.29 "," 6,913,180.86 "
BANDARI ," 174,276,817.50 "," 312,429,699.80 "," 5,528,533,243.18 "," 6,119,394,931.72 "," 144,077,735.31 "," 1,539,136,479.46 "," 3,967,976,088.59 "," 485,536,517.30 "," 152,926,312.10 "," 915,009,677.51 "," 145,725,682.22 "
BARAKA," 264,500.00 "," 55,390,711.89 "," 132,648,069.76 "," 256,038,074.00 "," 35,604,160.00 "," 86,693,009.78 "," 167,274,260.00 "," 55,390,711.89 "," 7,647,084.55 "," 54,952,583.45 "," 3,079,939.68 "
BARATON ," 250,514.00 "," 11,562,231.40 "," 94,097,457.58 "," 113,274,402.55 "," 6,345,084.08 "," 19,947,587.55 "," 71,028,188.55 "," 11,562,231.40 "," 3,839,804.23 "," 17,122,685.62 "," 137,500.00 "
BIASHARA," 18,687,915.49 "," 89,383,457.00 "," 585,661,468.18 "," 794,906,684.47 "," 81,422,194.00 "," 184,920,156.75 "," 537,223,293.32 "," 98,468,017.24 "," 43,239,807.00 "," 146,502,196.00 "," 8,409,679.00 "
BIASHARA TOSHA," 5,280,500.00 "," 3,085,223.61 "," 32,648,250.21 "," 55,959,830.51 "," 4,106,429.39 "," 15,409,238.68 "," 25,722,836.87 "," 3,085,223.61 "," 5,600,180.54 "," 10,156,609.93 "," 1,190,442.18 "
BI-HIGH," 5,511,944.94 "," 83,086,672.53 "," 276,215,393.34 "," 424,556,038.62 "," 8,935,305.90 "," 77,895,031.92 "," 336,329,089.74 "," 88,598,617.47 "," 27,473,511.63 "," 37,276,453.25 "," 31,741,306.00 "
BINGWA," 40,273,886.60 "," 590,900,711.01 "," 2,304,756,818.20 "," 1,034,675,585.82 "," 212,491,535.93 "," 1,147,921,524.20 "," 1,793,726,514.85 "," 631,174,597.61 "," 230,225,564.30 "," 587,850,373.84 "," 156,416,530.92 "
BORESHA SACCO," 62,553,890.00 "," 315,846,660.00 "," 3,177,785,454.00 "," 4,252,215,485.00 "," 305,728,514.00 "," 480,492,604.00 "," 2,528,326,270.00 "," 378,400,550.00 "," 62,213,062.00 "," 671,475,682.00 "," 102,652,013.00 "
CAPITAL," 7,664,310.00 "," 197,864,540.46 "," 1,529,370,982.50 "," 1,906,258,683.97 "," 209,661,873.33 "," 220,033,627.18 "," 1,654,680,305.46 "," 197,864,540.46 "," 10,758,495.25 "," 372,549,348.10 "," 382,727,332.98 "
CENTENARY ," 118,000.00 "," 71,581,902.72 "," 349,184,162.76 "," 437,297,421.46 "," 26,640,255.08 "," 57,105,147.22 "," 347,447,555.81 "," 71,591,902.72 "," 1,317,190.54 "," 53,913,720.77 "," 30,154,277.50 "
CHAI," 38,823,032.00 "," 46,519,695.00 "," 2,051,452,066.89 "," 2,225,982,182.31 "," 158,487,899.92 "," 223,763,889.37 "," 1,584,635,825.33 "," 46,519,695.00 "," 31,125,566.58 "," 325,617,092.96 "," 48,179,392.89 "
CHUNA," 15,875,820.00 ","-43,179,200.00 "," 1,970,948,887.00 "," 2,010,832,017.00 "," 59,281,438.00 "," 254,792,188.00 "," 1,364,268,288.00 ","-43,179,200.00 "," 59,050,418.00 "," 225,954,611.00 "," 55,482,086.00 "
COMOCO," 8,623,702.14 "," 9,895,884.50 "," 589,405,645.03 "," 696,369,303.37 "," 65,041,495.30 "," 73,308,538.49 "," 553,827,921.76 "," 9,895,884.50 "," 13,518,799.55 "," 111,858,137.54 "," 111,397,378.72 "
COSMOPOLITAN," 72,859,690.58 "," 255,936,543.56 "," 2,800,996,669.41 "," 3,254,336,874.67 "," 109,783,759.84 "," 210,327,893.04 "," 2,872,923,711.24 "," 255,936,543.56 "," 71,404,078.50 "," 415,735,565.49 "," 50,462,402.39 "
COUNTY," 31,618,295.00 "," 80,999,721.00 "," 141,033,581.00 "," 317,919,142.00 "," 33,338,105.00 "," 29,909,413.00 "," 208,070,904.00 "," 80,999,721.00 "," 5,536,869.00 "," 60,740,490.00 "," 45,028,305.00 "
DAIMA," 60,172.36 "," 180,203.35 "," 318,251.76 "," 584,475.47 "," 73,822.02 "," 56,233.15 "," 426,540.79 "," 180,203.35 "," 6,169.20 "," 116,831.12 "," 30,873,417.87 "
DHABITI ," 25,274,598.00 "," 19,556,059.97 "," 279,970,344.27 "," 377,622,623.69 "," 37,162,661.06 "," 40,971,795.03 "," 212,267,002.32 "," 19,556,059.97 ","-40,870,987.74 "," 93,259,803.20 "," 82,166,346.23 "
DIMKES DT," 7,816,156.00 "," 85,526,347.00 "," 876,468,077.00 "," 985,863,057.00 "," 67,930,902.57 "," 112,058,433.00 "," 869,652,514.00 "," 93,167,128.00 "," 27,082,727.79 "," 107,250,026.76 "," 27,020,631.00 "
DUMISHA," 4,345,600.00 "," 18,152,094.17 "," 124,638,263.01 "," 221,269,479.77 "," 11,804,319.50 "," 13,131,312.58 "," 137,930,182.62 "," 18,152,094.17 "," 5,530,940.65 "," 29,813,065.65 "," 19,726,397.65 "
ECO-PILLAR," 28,462,661.18 "," 39,993,365.70 "," 329,687,730.50 "," 713,318,287.16 "," 41,816,938.54 "," 76,789,377.53 "," 499,593,415.10 "," 39,993,365.70 "," 2,005,799.79 "," 79,548,980.64 "," 40,542,514.26 "
EDIS," 1,930,682.00 "," 3,984,880.17 "," 84,702,373.13 "," 92,353,975.85 "," 3,047,492.00 "," 17,833,729.64 "," 61,160,033.41 "," 3,984,880.17 "," 7,682,408.91 "," 11,811,410.71 "," 28,693,743.15 "
EGERTON UNIVERSITY," 31,573,060.00 "," 175,903,269.02 "," 1,480,300,783.73 "," 1,965,805,009.01 "," 90,409,491.04 "," 272,074,281.07 "," 1,356,641,112.61 "," 207,476,329.02 "," 1,580,886.33 "," 256,311,890.74 "," 81,723,612.30 "
ELIMU," 198,182,072.00 "," 81,249,581.00 "," 675,926,747.00 "," 1,045,145,547.00 "," 96,105,339.00 "," 84,925,611.00 "," 695,929,114.00 "," 84,456,731.00 "," 41,283,001.00 "," 153,644,980.00 "," 107,499,878.30 "
ENEA ," 1,080,800.00 "," 68,229,196.37 "," 49,020,045.78 "," 128,615,495.75 "," 17,539,962.21 "," 31,131,646.01 "," 92,169,405.79 "," 68,229,196.37 "," 4,713,896.96 "," 24,436,951.47 "," 21,580,229.00 "
FARIDI," 34,414,749.92 "," 79,928,719.33 "," 378,093,570.91 "," 668,019,669.00 "," 64,340,187.69 "," 101,533,657.52 "," 469,808,739.66 "," 79,928,719.33 "," 19,618,477.37 "," 140,027,570.58 "," 876,248.95 "
