NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL ,
2NK," 15,673,253.61 "," 137,179,385.87 "," 412,094,446.36 "," 814,018,010.23 "," 24,008,855.00 "," 177,364,938.90 "," 535,959,848.11 "," 147,058,961.48 "," 66,907,567.25 "," 61,922,613.25 "," 14,243,640.22 ",
AFYA," 197,990,284.00 "," 696,459,498.00 "," 11,871,371,331.00 "," 14,831,768,986.00 "," 887,549,448.00 "," 1,316,976,568.00 "," 11,673,950,876.00 "," 696,459,498.00 "," 161,707,247.00 "," 2,160,029,672.00 "," 773,687,819.93 ",
AGROCHEM," 2,286,516.80 "," 24,988,768.32 "," 99,118,638.94 "," 126,175,118.17 "," 7,223,368.94 "," 24,926,814.90 "," 86,515,419.31 "," 24,988,768.32 "," 2,258,075.73 "," 20,333,610.89 "," 2,970,030.00 ",
AINABKOI RURAL," 923,590.00 "," 7,791,226.00 "," 23,916,091.00 "," 85,101,754.00 "," 3,458,460.00 "," 20,435,325.00 "," 62,061,845.00 "," 7,791,226.00 "," 1,022,700.00 "," 3,317,697.00 "," 12,710,751.00 ",
AIRPORTS," 3,054,228.00 "," 34,909,576.87 "," 427,138,819.33 "," 574,816,254.97 "," 31,678,789.70 "," 68,032,639.68 "," 466,581,837.04 "," 34,909,576.87 "," 8,909,294.73 "," 85,952,421.55 "," 19,461,882.38 ",
AMICA," 293,908,892.00 "," 205,584,715.81 "," 2,047,189,213.81 "," 2,990,542,445.54 "," 317,514,728.21 ","-12,013,152.69 "," 2,145,379,510.89 "," 206,734,715.81 "," 10,603,573.87 "," 456,558,561.02 "," 182,075,751.41 ",
AMMAR," 443,536.00 "," 9,964,647.83 "," 55,468,103.66 "," 69,659,085.31 "," 7,455,255.36 "," 18,832,972.17 "," 44,870,108.89 "," 10,334,183.83 "," 2,382,741.18 "," 11,221,403.95 "," 1,283,767.94 ",
ARDHI," 9,980,342.00 "," 60,655,284.38 "," 1,337,579,983.45 "," 1,549,374,315.53 "," 82,397,116.05 "," 197,738,580.60 "," 1,262,940,288.21 "," 70,635,626.38 "," 70,745,135.94 "," 179,956,785.04 "," 23,157,516.49 ",
ASILI ," 230,288,974.31 "," 80,289,461.41 "," 1,251,376,742.95 "," 1,971,015,431.64 "," 81,256,600.72 "," 148,318,822.47 "," 1,420,614,763.00 "," 83,013,789.41 "," 128,862,879.68 "," 215,551,290.36 "," 170,205,683.26 ",
AZIMA ," 25,667,101.00 "," 106,028,769.00 "," 810,638,351.00 "," 1,106,787,967.00 "," 48,199,019.60 "," 290,335,249.00 "," 732,147,941.00 "," 106,028,769.00 "," 116,545,075.95 "," 168,132,056.36 "," 8,195,809.33 ",
