NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL 
2NK," 24,549,083.19 ","119,688,972.55","712,918,975.71","37,074,988.80"," 182,368,421.60 ","712,245,046.25"," 139,125,336.74 ","57,185,048.48","86,117,530.44"," 81,454,840.03 "
ACUMEN," 37,930,387.08 ","18,872,807.00","312,279,513.00","20,870,419.28"," 53,590,891.07 ","296,337,292.38"," 56,687,339.08 ","16,840,214.72","46,322,756.00"," 14,571,256.17 "
AFYA," 1,491,419,892.00 ","2,569,761,530.68","13,400,151,739.22","961,772,797.01"," 2,145,520,745.02 ","15,613,664,518.25"," 3,052,950,236.18 ","939,007,346.87","2,383,825,138.70"," 385,588,389.93 "
AGROCHEM," 2,264,116.00 ","30,638,981.00","114,587,764.92","9,686,514.27"," 46,404,037.79 ","102,003,840.25"," 30,638,981.00 ","1,621,807.79","23,812,332.00"," 6,591,093.07 "
AINABKOI RURAL," 1,923,590.00 ","7,415,417.00","10,770,290.00","3,174,971.77"," 31,261,373.41 ","54,243,545.59"," 7,415,417.00 ","1,867,359.04","5,777,150.22"," 6,019,462.30 "
AIRPORTS," 5,588,170.00 ","154,061,631.81","740,356,426.49","39,276,741.91"," 167,311,617.20 ","656,480,094.38"," 154,061,631.81 ","34,007,582.46","147,422,038.84"," 34,919,123.45 "
AMICA," 381,355,359.00 ","730,355,399.55","4,329,137,972.26","479,294,759.57","-208,204,742.16 ","4,328,966,331.39"," 730,355,399.55 ","231,594,110.26","966,206,125.35"," 1,199,860,315.12 "
AMMAR," 330,679.37 ","62,849,394.60","150,455,355.81","15,766,655.79"," 49,789,135.68 ","147,542,483.33"," 62,916,073.97 ","4,247,905.23","27,764,950.62"," 32,709,824.12 "
ARDHI, -   ,"212,808,494.25","1,798,028,746.72","98,090,608.22"," 401,148,371.20 ","1,719,744,667.01"," 212,808,494.25 ","74,044,283.13","266,516,132.21"," 10,779,108.34 "
ASILI ," 284,085,246.40 ","158,814,370.00","1,452,459,087.43","79,110,203.47"," 531,346,510.04 ","1,720,235,206.75"," 411,377,322.67 ","138,501,792.98","273,527,823.66"," 10,758,865.42 "
AZIMA ," 86,342,906.53 ","360,145,955.76","1,241,952,169.66","57,998,066.28"," 512,086,707.99 ","1,025,635,720.10"," 360,145,955.76 ","62,146,125.98","259,803,077.50"," 61,616,099.28 "
BANDARI ," 1,993,769,791.00 ","862,848,333.37","7,389,972,464.75","412,688,725.01"," 2,449,751,823.76 ","6,987,339,615.11"," 2,334,732,255.90 ","416,507,191.54","1,389,864,969.00"," 107,425,186.60 "
BARAKA," 264,500.00 ","91,202,014.21","200,185,827.72","47,302,050.89"," 128,906,663.87 ","244,046,975.06"," 91,202,014.21 ","11,696,699.15","63,996,574.42"," 2,676,205.77 "
BARATON ," 10,153,984.00 ","43,376,929.16","122,955,803.13","11,316,405.73"," 47,447,706.81 ","112,913,323.92"," 53,376,929.16 ","7,800,571.02","28,432,700.09"," 861,959.75 "
BIASHARA," 67,287,080.62 ","234,568,421.00","2,132,364,069.00","155,783,711.00"," 732,911,666.40 ","1,558,380,988.70"," 257,654,966.02 ","174,152,051.00","431,378,076.00"," 361,707,202.00 "
BIASHARA TOSHA," 3,986,203.97 ","15,101,967.71","56,545,829.93","8,944,445.96"," 31,683,741.84 ","43,277,250.41"," 19,082,671.68 ","4,234,590.78","14,717,350.74"," 1,792,234.65 "
BI-HIGH," 8,432,450.37 ","18,175,711.57","400,967,496.09","13,635,620.62"," 134,182,815.63 ","446,348,860.74"," 18,175,711.57 ","27,916,933.75","50,097,475.90"," 18,299,689.16 "
BINGWA," 50,802,286.80 ","2,405,872,574.90","3,884,743,775.50","332,870,748.92"," 2,720,651,701.30 ","3,250,454,648.50"," 2,456,674,861.70 ","232,549,822.02","903,350,347.30"," 860,997,961.06 "
BORESHA SACCO," 336,384,717.00 ","816,328,090.00","7,392,011,278.00","557,476,755.00"," 1,486,729,484.00 ","6,206,766,913.00"," 1,093,170,042.00 ","255,489,470.00","1,320,674,684.00"," 857,514,075.69 "
CAPITAL," 20,266,240.00 ","749,884,847.24","3,244,146,208.55","357,052,481.95"," 514,860,937.06 ","3,202,108,419.11"," 749,884,847.24 ","48,112,331.44","669,262,704.80"," 698,420,415.73 "
CENTENARY ," 4,118,000.00 ","384,583,406.00","961,936,987.00","52,285,959.96"," 253,813,466.00 ","956,594,403.00"," 384,701,406.00 ","33,097,400.21","167,811,331.03"," 127,289,266.35 "
CHAI," 154,575,973.70 ","494,876,416.89","3,614,438,125.02","273,787,205.22"," 890,033,398.16 ","3,004,975,316.05"," 587,224,170.29 ","49,580,151.87","634,263,282.62"," 72,171,125.40 "
CHUKA UNIVERSITY," 5,700.24 ","34,016.31","295,981.65","4,096.25"," 87,194.25 ","221,494.26"," 39,716.55 ","40,116.08","46,844.14"," 1,438,235.00 "
CHUNA," 130,109,456.60 ","86,045,728.55","1,122,498,262.28","137,402,042.13"," 196,345,215.60 ","1,333,084,245.08"," 86,045,728.55 ","112,850,235.82","251,169,778.83"," 33,278,478.87 "
COMOCO," 17,765,641.00 ","20,308,399.00","162,387,482.00","42,424,506.00"," 82,444,604.00 ","283,495,458.00"," 20,308,399.00 ","-32,098,124.00","36,637,502.00", -   
COSMOPOLITAN," 137,103,121.50 ","1,533,537,569.20","6,365,654,645.76","262,889,424.52"," 934,186,829.70 ","6,379,317,616.66"," 1,634,788,689.92 ","87,466,219.61","1,035,862,809.86"," 261,084,266.89 "
COUNTY," 95,976,032.00 ","18,468,184.00","297,344,446.73","43,481,799.79"," 92,075,340.00 ","351,936,676.54"," 18,468,184.00 ","25,610,486.85","108,232,869.61"," 80,578,327.80 "
DAIMA," 79,671,924.25 ","287,624,117.97","951,635,722.78","132,541,523.83"," 264,600,910.65 ","899,666,269.90"," 287,624,117.97 ","46,699,596.42","259,598,550.25"," 28,599,551.72 "
DHABITI ," 12,885,608.33 ","96,376,511.92","455,293,827.74","70,864,041.71"," 185,962,079.67 ","350,188,306.35"," 96,376,511.92 ","28,494,074.69","123,269,122.17"," 139,655,063.92 "
DIMKES DT," 29,485,148.00 ","321,618,304.26","1,802,045,420.23","157,950,612.54"," 433,804,582.18 ","1,603,626,282.58"," 350,467,379.26 ","139,889,489.63","302,391,867.94"," 167,297,124.83 "
DUMISHA," 3,171,416.00 ","17,034,260.76","191,952,031.62","11,239,989.50"," 41,517,751.44 ","159,415,503.35"," 17,034,260.76 ","620,749.94","21,423,184.45"," 19,819,314.96 "
ECO-PILLAR," 36,628,968.17 ","109,704,519.50","529,437,944.13","78,662,503.40"," 183,058,343.16 ","824,151,833.40"," 109,704,519.50 ","16,880,717.13","158,303,251.70"," 1,631,835.27 "
EDIS," 6,000.00 ","3,928,172.18","196,198,607.83","13,868,206.27"," 56,421,608.88 ","136,832,949.00"," 3,928,172.18 ","11,556,662.29","39,607,908.52"," 13,883,079.01 "
